osmid,y,x,highway,ref,street_count,junction,railway,geometry
37020818,39.33073,-76.527213,,,3,,,POINT (-76.527213 39.33073)
37020826,39.4526201,-76.8171155,,,3,,,POINT (-76.8171155 39.4526201)
37020838,39.4533362,-76.8169613,,,3,,,POINT (-76.8169613 39.4533362)
37020857,39.3089288,-76.7679595,,,3,,,POINT (-76.7679595 39.3089288)
37020859,39.3093482,-76.7675844,,,3,,,POINT (-76.7675844 39.3093482)
37020862,39.327117,-76.528619,,,3,,,POINT (-76.528619 39.327117)
37020864,39.327937,-76.528627,,,4,,,POINT (-76.528627 39.327937)
37020869,39.328357,-76.528624,,,3,,,POINT (-76.528624 39.328357)
37020872,39.328782,-76.528621,,,4,,,POINT (-76.528621 39.328782)
37020875,39.3292,-76.528616,,,3,,,POINT (-76.528616 39.3292)
37020877,39.329639,-76.528587,,,4,,,POINT (-76.528587 39.329639)
37020878,39.330055,-76.528615,,,3,,,POINT (-76.528615 39.330055)
37020880,39.33049,-76.528619,,,4,,,POINT (-76.528619 39.33049)
37020884,39.3100744,-76.7553708,,,1,,,POINT (-76.7553708 39.3100744)
37020888,39.3097465,-76.7552955,,,3,,,POINT (-76.7552955 39.3097465)
37020890,39.3093515,-76.7552032,,,1,,,POINT (-76.7552032 39.3093515)
37020996,39.463985,-76.838177,,,3,,,POINT (-76.838177 39.463985)
37021015,39.3102742,-76.7530132,,,3,,,POINT (-76.7530132 39.3102742)
37021027,39.3098489,-76.7529018,,,3,,,POINT (-76.7529018 39.3098489)
37021029,39.3098416,-76.7527681,,,4,,,POINT (-76.7527681 39.3098416)
37021257,39.310219,-76.752713,,,3,,,POINT (-76.752713 39.310219)
37021310,39.3093345,-76.7531951,,,4,,,POINT (-76.7531951 39.3093345)
37021318,39.309349,-76.752853,,,3,,,POINT (-76.752853 39.309349)
37021326,39.4941582,-76.650345,,,3,,,POINT (-76.650345 39.4941582)
37021339,39.4942352,-76.6500274,,,3,,,POINT (-76.6500274 39.4942352)
37021387,39.470469,-76.5761817,,,3,,,POINT (-76.5761817 39.470469)
37021413,39.3083028,-76.7378588,,,3,,,POINT (-76.7378588 39.3083028)
37021436,39.5453689,-76.8057531,,,3,,,POINT (-76.8057531 39.5453689)
37021441,39.5443104,-76.8057397,,,1,,,POINT (-76.8057397 39.5443104)
37021481,39.301472,-76.448469,,,3,,,POINT (-76.448469 39.301472)
37021484,39.3019733,-76.4480629,,,3,,,POINT (-76.4480629 39.3019733)
37021489,39.4959436,-76.6495265,,,3,,,POINT (-76.6495265 39.4959436)
37021491,39.4949426,-76.6494683,stop,,5,,,POINT (-76.6494683 39.4949426)
37021501,39.39175,-76.575267,,,3,,,POINT (-76.575267 39.39175)
37021507,39.3925506,-76.5749968,,,4,,,POINT (-76.5749968 39.3925506)
37021510,39.392962,-76.575151,,,3,,,POINT (-76.575151 39.392962)
37021538,39.654533,-76.631621,,,3,,,POINT (-76.631621 39.654533)
37021560,39.652961,-76.632915,,,3,,,POINT (-76.632915 39.652961)
37021568,39.299286,-76.443184,,,3,,,POINT (-76.443184 39.299286)
37021607,39.65437,-76.631429,,,1,,,POINT (-76.631429 39.65437)
37021645,39.656101,-76.631776,,,1,,,POINT (-76.631776 39.656101)
37021654,39.4948537,-76.6499758,,,3,,,POINT (-76.6499758 39.4948537)
37021658,39.4949624,-76.6488662,,,3,,,POINT (-76.6488662 39.4949624)
37021662,39.4710395,-76.5940287,,,3,,,POINT (-76.5940287 39.4710395)
37021670,39.662336,-76.669463,,,3,,,POINT (-76.669463 39.662336)
37021701,39.661077,-76.669758,,,3,,,POINT (-76.669758 39.661077)
37021703,39.660947,-76.670009,,,3,,,POINT (-76.670009 39.660947)
37021720,39.661118,-76.670932,,,1,,,POINT (-76.670932 39.661118)
37021730,39.298922,-76.435979,,,3,,,POINT (-76.435979 39.298922)
37021751,39.3927758,-76.560938,,,3,,,POINT (-76.560938 39.3927758)
37021753,39.3922407,-76.561251,,,3,,,POINT (-76.561251 39.3922407)
37021756,39.3918922,-76.5614548,,,3,,,POINT (-76.5614548 39.3918922)
37021765,39.4957779,-76.6555538,traffic_signals,,5,,,POINT (-76.6555538 39.4957779)
37021767,39.4964083,-76.6555673,,,3,,,POINT (-76.6555673 39.4964083)
37021775,39.3920795,-76.6254201,,,3,,,POINT (-76.6254201 39.3920795)
37021780,39.392385,-76.625515,,,3,,,POINT (-76.625515 39.392385)
37021804,39.3933397,-76.6255161,,,3,,,POINT (-76.6255161 39.3933397)
37021824,39.299301,-76.436296,,,3,,,POINT (-76.436296 39.299301)
37021842,39.283149,-76.524922,,,3,,,POINT (-76.524922 39.283149)
37021847,39.2831692,-76.5244807,,,3,,,POINT (-76.5244807 39.2831692)
37021867,39.28461,-76.525028,,,3,,,POINT (-76.525028 39.28461)
37021872,39.6595958,-76.6662951,,,3,,,POINT (-76.6662951 39.6595958)
37021878,39.6594009,-76.6662597,,,3,,,POINT (-76.6662597 39.6594009)
37021926,39.658361,-76.665495,,,3,,,POINT (-76.665495 39.658361)
37021942,39.657436,-76.665739,,,1,,,POINT (-76.665739 39.657436)
37021950,39.656961,-76.662559,,,3,,,POINT (-76.662559 39.656961)
37021953,39.657176,-76.66244,,,3,,,POINT (-76.66244 39.657176)
37021966,39.657969,-76.661896,,,3,,,POINT (-76.661896 39.657969)
37021988,39.659534,-76.662091,,,3,,,POINT (-76.662091 39.659534)
37021993,39.660179,-76.662276,,,3,,,POINT (-76.662276 39.660179)
37021999,39.660665,-76.662378,,,3,,,POINT (-76.662378 39.660665)
37022005,39.661132,-76.662516,,,3,,,POINT (-76.662516 39.661132)
37022011,39.661335,-76.6626,,,3,,,POINT (-76.6626 39.661335)
37022020,39.661652,-76.663652,,,1,,,POINT (-76.663652 39.661652)
37022070,39.4062219,-76.5690194,,,3,,,POINT (-76.5690194 39.4062219)
37022071,39.4060455,-76.5690385,,,3,,,POINT (-76.5690385 39.4060455)
37022075,39.4055301,-76.5690943,,,3,,,POINT (-76.5690943 39.4055301)
37022086,39.4051786,-76.5704138,,,1,,,POINT (-76.5704138 39.4051786)
37022088,39.2653081,-76.525396,,,3,,,POINT (-76.525396 39.2653081)
37022090,39.2661009,-76.5252445,,,3,,,POINT (-76.5252445 39.2661009)
37022134,39.5681294,-76.7180428,,,3,,,POINT (-76.7180428 39.5681294)
37022177,39.569092,-76.716283,,,1,,,POINT (-76.716283 39.569092)
37022185,39.285453,-76.393738,,,1,,,POINT (-76.393738 39.285453)
37022199,39.284717,-76.394374,,,3,,,POINT (-76.394374 39.284717)
37022203,39.2845714,-76.3945259,,,3,,,POINT (-76.3945259 39.2845714)
37022208,39.569075,-76.724964,,,3,,,POINT (-76.724964 39.569075)
37022215,39.569666,-76.723844,,,1,,,POINT (-76.723844 39.569666)
37022219,39.569589,-76.725169,,,1,,,POINT (-76.725169 39.569589)
37022223,39.569356,-76.725236,,,3,,,POINT (-76.725236 39.569356)
37022289,39.56855,-76.724277,,,3,,,POINT (-76.724277 39.56855)
37022297,39.3885591,-76.5769592,,,3,,,POINT (-76.5769592 39.3885591)
37022307,39.3898207,-76.5753545,,,3,,,POINT (-76.5753545 39.3898207)
37022310,39.3901134,-76.5749821,,,4,,,POINT (-76.5749821 39.3901134)
37022315,39.3904065,-76.5745876,,,3,,,POINT (-76.5745876 39.3904065)
37022319,39.390684,-76.57417,,,4,,,POINT (-76.57417 39.390684)
37022326,39.3909813,-76.5737537,,,3,,,POINT (-76.5737537 39.3909813)
37022341,39.392332,-76.577367,,,3,,,POINT (-76.577367 39.392332)
37022345,39.3918575,-76.5778542,,,3,,,POINT (-76.5778542 39.3918575)
37022393,39.3950026,-76.6871706,,,3,,,POINT (-76.6871706 39.3950026)
37022403,39.3948978,-76.6874925,traffic_signals,,4,,,POINT (-76.6874925 39.3948978)
37022412,39.3865913,-76.783579,turning_circle,,1,,,POINT (-76.783579 39.3865913)
37022424,39.386144,-76.7835246,,,3,,,POINT (-76.7835246 39.386144)
37022444,39.384766,-76.7834871,,,4,,,POINT (-76.7834871 39.384766)
37022464,39.569813,-76.726288,,,1,,,POINT (-76.726288 39.569813)
37022502,39.661641,-76.590312,,,3,,,POINT (-76.590312 39.661641)
37022549,39.6629317,-76.5743615,,,3,,,POINT (-76.5743615 39.6629317)
37022552,39.662705,-76.574579,,,3,,,POINT (-76.574579 39.662705)
37022555,39.662326,-76.574996,,,3,,,POINT (-76.574996 39.662326)
37022561,39.662488,-76.575413,,,1,,,POINT (-76.575413 39.662488)
37022565,39.660242,-76.577519,,,4,,,POINT (-76.577519 39.660242)
37022567,39.66059,-76.578012,,,1,,,POINT (-76.578012 39.66059)
37022572,39.659857,-76.577981,,,1,,,POINT (-76.577981 39.659857)
37022675,39.4887944,-76.7049466,,,1,,,POINT (-76.7049466 39.4887944)
37022696,39.4884207,-76.7058263,,,3,,,POINT (-76.7058263 39.4884207)
37022719,39.4885201,-76.7077307,,,3,,,POINT (-76.7077307 39.4885201)
37022835,39.6620214,-76.5998446,,,3,,,POINT (-76.5998446 39.6620214)
37022838,39.6621681,-76.6000925,,,3,,,POINT (-76.6000925 39.6621681)
37022849,39.6632943,-76.6014827,,,4,,,POINT (-76.6014827 39.6632943)
37022853,39.6635239,-76.601782,,,1,,,POINT (-76.601782 39.6635239)
37022859,39.2726171,-76.7205303,,,3,,,POINT (-76.7205303 39.2726171)
37022861,39.273187,-76.7207824,,,3,,,POINT (-76.7207824 39.273187)
37022863,39.2735431,-76.7209407,,,4,,,POINT (-76.7209407 39.2735431)
37022871,39.394066,-76.414512,,,3,,,POINT (-76.414512 39.394066)
37022897,39.394159,-76.416337,,,3,,,POINT (-76.416337 39.394159)
37022917,39.394453,-76.417194,,,1,,,POINT (-76.417194 39.394453)
37022923,39.3948437,-76.5144303,,,3,,,POINT (-76.5144303 39.3948437)
37022966,39.3909588,-76.3907281,,,3,,,POINT (-76.3907281 39.3909588)
37022971,39.3911195,-76.3904718,,,3,,,POINT (-76.3904718 39.3911195)
37022989,39.3923968,-76.388784,,,4,,,POINT (-76.388784 39.3923968)
37023013,39.3926621,-76.3870084,,,3,,,POINT (-76.3870084 39.3926621)
37023069,39.4494884,-76.6308826,,,3,,,POINT (-76.6308826 39.4494884)
37023072,39.4493169,-76.6309028,,,3,,,POINT (-76.6309028 39.4493169)
37023079,39.3939099,-76.5182092,,,1,,,POINT (-76.5182092 39.3939099)
37023093,39.3943775,-76.5199157,,,3,,,POINT (-76.5199157 39.3943775)
37023129,39.392718,-76.3892,,,3,,,POINT (-76.3892 39.392718)
37023134,39.393036,-76.38794,,,1,,,POINT (-76.38794 39.393036)
37023149,39.3935452,-76.3866114,,,3,,,POINT (-76.3866114 39.3935452)
37023168,39.449474,-76.6301398,,,3,,,POINT (-76.6301398 39.449474)
37023205,39.3948723,-76.5223896,,,3,,,POINT (-76.5223896 39.3948723)
37023208,39.234578,-76.452605,,,3,,,POINT (-76.452605 39.234578)
37023224,39.234508,-76.452357,,,3,,,POINT (-76.452357 39.234508)
37023229,39.393284,-76.388303,,,3,,,POINT (-76.388303 39.393284)
37023230,39.393343,-76.388388,,,1,,,POINT (-76.388388 39.393343)
37023233,39.394668,-76.522998,,,3,,,POINT (-76.522998 39.394668)
37023236,39.3947967,-76.5229005,,,3,,,POINT (-76.5229005 39.3947967)
37023241,39.3948796,-76.5221192,,,3,,,POINT (-76.5221192 39.3948796)
37023245,39.3952847,-76.5221666,,,3,,,POINT (-76.5221666 39.3952847)
37023249,39.386224,-76.419873,,,3,,,POINT (-76.419873 39.386224)
37023250,39.3866669,-76.4205028,,,3,,,POINT (-76.4205028 39.3866669)
37023253,39.386819,-76.420646,,,4,,,POINT (-76.420646 39.386819)
37023264,39.3875,-76.421122,,,4,,,POINT (-76.421122 39.3875)
37023274,39.388078,-76.421383,,,3,,,POINT (-76.421383 39.388078)
37023355,39.2842934,-76.766294,,,3,,,POINT (-76.766294 39.2842934)
37023555,39.4937035,-76.5440027,,,3,,,POINT (-76.5440027 39.4937035)
37023570,39.4940004,-76.5432885,,,3,,,POINT (-76.5432885 39.4940004)
37023578,39.2888733,-76.7269235,,,3,,,POINT (-76.7269235 39.2888733)
37023597,39.2887771,-76.7272982,,,4,,,POINT (-76.7272982 39.2887771)
37023618,39.288347,-76.7278421,,,3,,,POINT (-76.7278421 39.288347)
37023626,39.2888588,-76.7279029,,,3,,,POINT (-76.7279029 39.2888588)
37023669,39.492213,-76.534307,turning_circle,,5,,,POINT (-76.534307 39.492213)
37023676,39.2880325,-76.7268685,,,1,,,POINT (-76.7268685 39.2880325)
37023689,39.2889389,-76.7269094,,,3,,,POINT (-76.7269094 39.2889389)
37023708,39.287646,-76.7240164,,,1,,,POINT (-76.7240164 39.287646)
37023712,39.2873819,-76.7240257,,,3,,,POINT (-76.7240257 39.2873819)
37023734,39.2871623,-76.723175,,,3,,,POINT (-76.723175 39.2871623)
37023743,39.50705,-76.568345,,,3,,,POINT (-76.568345 39.50705)
37023752,39.507252,-76.568413,,,3,,,POINT (-76.568413 39.507252)
37023765,39.507529,-76.568528,,,1,,,POINT (-76.568528 39.507529)
37023952,39.507204,-76.567982,,,3,,,POINT (-76.567982 39.507204)
37023990,39.4133897,-76.7657267,,,3,,,POINT (-76.7657267 39.4133897)
37023996,39.413263,-76.7656626,,,3,,,POINT (-76.7656626 39.413263)
37024025,39.681605,-76.638348,,,3,,,POINT (-76.638348 39.681605)
37024052,39.680159,-76.640513,,,1,,,POINT (-76.640513 39.680159)
37024058,39.5064667,-76.5811852,,,3,,,POINT (-76.5811852 39.5064667)
37024131,39.6815802,-76.6461531,,,3,,,POINT (-76.6461531 39.6815802)
37024135,39.6816556,-76.6463147,,,3,,,POINT (-76.6463147 39.6816556)
37024142,39.507212,-76.591551,turning_circle,,3,,,POINT (-76.591551 39.507212)
37024165,39.507244,-76.592671,,,3,,,POINT (-76.592671 39.507244)
37024180,39.507599,-76.592863,,,1,,,POINT (-76.592863 39.507599)
37024249,39.3322685,-76.4878709,,,3,,,POINT (-76.4878709 39.3322685)
37024299,39.6817718,-76.6463072,,,3,,,POINT (-76.6463072 39.6817718)
37024335,39.4102363,-76.7638319,,,3,,,POINT (-76.7638319 39.4102363)
